snyk_id,vulnerability type,ecosystem,package,security release,repository_url,possible release note,possible changelogs,link,is_doc,list of sources (separated by semicolon),source,snyk version wrong listed,is_fix,How is the fix mentioned? (initial codes); separated by semicolon,fix_pattern,is_uc,is_br,how the breaking change is mentioned? (initial codes); separated by semicolon,breaking_pattern,Additional Comments,row
npm:address-rfc2822:20180225,Regular Expression Denial of Service (ReDoS),npm,address-rfc2822,2.0.2,https://github.com/haraka/node-address-rfc2822,not found through script,https://github.com/haraka/node-address-rfc2822/blob/master/Changes.md,https://snyk.io/vuln/npm:address-rfc2822:20180225,y,changes.md,changelog,,y,vulnerability type mentioned; PR referenced ,vulnerability description; fix reference,n,n,,,,2
npm:braces:20180219,Regular Expression Denial of Service (ReDoS),npm,braces,2.3.1,https://github.com/micromatch/braces,not found through script,https://github.com/micromatch/braces/blob/master/CHANGELOG.md,https://snyk.io/vuln/npm:braces:20180219,y,changelog.MD,changelog,,y,summary fix,fix reference,n,n,,,,4
npm:fastify:20180107,Denial of Service (DoS),npm,fastify,0.38.0,https://github.com/fastify/fastify,https://github.com/fastify/fastify/releases/tag/v0.38.0,no changlog found in script,https://snyk.io/vuln/npm:fastify:20180107,y,github release note,github release note,,y,CVE mentioned; ,advisory reference,y,y,breaking change notice; pr reference,breaking change notice; code change reference,,5
npm:is-my-json-valid:20180214,Regular Expression Denial of Service (ReDoS),npm,is-my-json-valid,1.4.1,https://github.com/mafintosh/is-my-json-valid,not found through script,no changlog found in script,https://snyk.io/vuln/npm:is-my-json-valid:20180214,n,N,n,,n,,,n,n,,,"the package that does not have a release note, not likely to especially have for security releases",6
npm:is-my-json-valid:20180214,Regular Expression Denial of Service (ReDoS),npm,is-my-json-valid,2.17.2,https://github.com/mafintosh/is-my-json-valid,not found through script,no changlog found in script,https://snyk.io/vuln/npm:is-my-json-valid:20180214,n,N,n,,n,,,n,n,,,,7
npm:jsviews:20160320,Template Injection,npm,jsviews,0.9.74,https://github.com/borismoore/jsviews,https://github.com/BorisMoore/jsviews/releases/tag/v0.9.74,no changlog found in script,https://snyk.io/vuln/npm:jsviews:20160320,y,github release notes,github release note,,n,,,n,n,,,release commit include the fix,8
npm:shiba:20171125,Cross-site Scripting (XSS),npm,shiba,1.1.1,https://github.com/rhysd/Shiba,https://github.com/rhysd/Shiba/releases/tag/v1.1.1,no changlog found in script,https://snyk.io/vuln/npm:shiba:20171125,y,github release notes,github release note,,y,high-level issue,vulnerability description,y,n,,,,10
npm:skeemas:20180225,Regular Expression Denial of Service (ReDoS),npm,skeemas,1.2.5,https://github.com/Prestaul/skeemas,not found through script,no changlog found in script,https://snyk.io/vuln/npm:skeemas:20180225,n,N,n,,n,,,n,n,,,,11
SNYK-DOTNET-DOTNETNUKECORE-536082,Inadequate Encryption Strength,NuGet,dotnetnuke.core,9.3.0,https://github.com/dnnsoftware/Dnn.Platform,not found through script,https://github.com/dnnsoftware/Dnn.Platform/blob/master/.github/RELEASE_SCHEDULE.md ; https://github.com/dnnsoftware/Dnn.Platform/blob/master/Build/Symbols/releaseNotes.txt ; https://github.com/dnnsoftware/Dnn.Platform/blob/master/DNN Platform/Admin Modules/Dnn.Modules.Console/releaseNotes.txt ; https://github.com/dnnsoftware/Dnn.Platform/blob/master/DNN Platform/Components/Microsoft.CodeDom.Providers.DotNetCompilerPlatform/releaseNotes.txt ; https://github.com/dnnsoftware/Dnn.Platform/blob/master/DNN Platform/Connectors/Azure/releaseNotes.txt ; https://github.com/dnnsoftware/Dnn.Platform/blob/master/DNN Platform/Connectors/GoogleAnalytics/ReleaseNotes.txt ; https://github.com/dnnsoftware/Dnn.Platform/blob/master/DNN Platform/Connectors/GoogleTagManager/ReleaseNotes.txt ; https://github.com/dnnsoftware/Dnn.Platform/blob/master/DNN Platform/Controls/SolpartMenu/ReleaseNotes.txt ; https://github.com/dnnsoftware/Dnn.Platform/blob/master/DNN Platform/Dnn.AuthServices.Jwt/releaseNotes.txt ; https://github.com/dnns,https://snyk.io/vuln/SNYK-DOTNET-DOTNETNUKECORE-536082,n,,,,n,,,n,n,,,,15
SNYK-DOTNET-GW2SHARP-536077,Information Exposure,NuGet,gw2sharp,0.3.1,https://github.com/Archomeda/Gw2Sharp,https://github.com/Archomeda/Gw2Sharp/releases/tag/v0.3.1,https://github.com/Archomeda/Gw2Sharp/blob/master/CHANGELOG.md,https://snyk.io/vuln/SNYK-DOTNET-GW2SHARP-536077,y,github release note; changelog,changelog,,y,PR reference,Fix reference,y,n,,,,16
SNYK-DOTNET-MICROSOFTASPNETCORESERVERKESTRELCORE-60241,Denial of Service (DoS),NuGet,microsoft.aspnetcore.server.kestrel.core,2.0.3,https://github.com/aspnet/KestrelHttpServer,not found through script,no changlog found in script,https://snyk.io/vuln/SNYK-DOTNET-MICROSOFTASPNETCORESERVERKESTRELCORE-60241,y,https://github.com/dotnet/core/tree/main/release-notes,changelog,,n,,,y,n,,,,23
SNYK-DOTNET-MICROSOFTASPNETCORESERVERKESTRELTRANSPORTABSTRACTIONS-60242,Denial of Service (DoS),NuGet,microsoft.aspnetcore.server.kestrel.transport.abstractions,2.0.3,https://github.com/aspnet/KestrelHttpServer,not found through script,no changlog found in script,https://snyk.io/vuln/SNYK-DOTNET-MICROSOFTASPNETCORESERVERKESTRELTRANSPORTABSTRACTIONS-60242,y,,changelog,,n,,,y,n,,,,27
