advisory_id,package_id,ecosystem,type,severity,disclose_date,publish_date,earliest_fix_commit_date,latest_fix_commit_date,release_date,version,fixing_release,total_release,fix_commit_date,fix_to_release_delay,disclose_to_fix_delay,release_to_publish_delay,fix_to_publish_delay
SNYK-PHP-SYMFONYSYMFONY-174496,1391,Composer,Arbitrary Code Execution,M,2019-04-17,2019-04-24,2019-04-16 11:13:42,2019-04-16 11:13:42,2016-05-30 07:24:54,3.1.0,package1391version3.1.0,SNYK-PHP-SYMFONYSYMFONY-17449613913.1.0,2019-04-16 11:13:42,-1051.0,-1,1059,8
SNYK-GOLANG-K8SIOKUBERNETESPKGKUBELETSERVER-561503,1200,Go,Denial of Service (DoS),M,2020-03-24,2020-03-31,2020-02-07 23:12:24,2020-02-07 23:12:24,2020-01-18 23:22:33,1.16.6,package1200version1.16.6,SNYK-GOLANG-K8SIOKUBERNETESPKGKUBELETSERVER-56150312001.16.6,2020-02-07 23:12:24,-20.0,-46,73,53
SNYK-PHP-SYMFONYSYMFONY-174496,1391,Composer,Arbitrary Code Execution,M,2019-04-17,2019-04-24,2019-04-16 11:13:42,2019-04-16 11:13:42,2016-11-30 08:46:24,3.2.0,package1391version3.2.0,SNYK-PHP-SYMFONYSYMFONY-17449613913.2.0,2019-04-16 11:13:42,-867.0,-1,875,8
SNYK-JAVA-ORGAPACHESTRUTS-30055,219,Maven,Arbitrary Code Execution,H,2014-04-25,2014-04-25,2014-04-28 06:50:53,2014-04-28 06:50:53,2014-04-24 19:44:00,2.3.16.2,package219version2.3.16.2,SNYK-JAVA-ORGAPACHESTRUTS-300552192.3.16.2,2014-04-28 06:50:53,-3.0,3,1,-3
SNYK-GOLANG-GITHUBCOMKUBERNETESKUBERNETESPKGVOLUMEGLUSTERFS-575594,714,Go,Server Side Request Forgery (SSRF),M,2020-06-05,2020-07-10,2020-04-02 22:25:36,2020-04-02 22:25:36,2020-03-12 20:54:31,1.17.4,package714version1.17.4,SNYK-GOLANG-GITHUBCOMKUBERNETESKUBERNETESPKGVOLUMEGLUSTERFS-5755947141.17.4,2020-04-02 22:25:36,-21.0,-64,120,99
SNYK-PHP-MOODLEMOODLE-1048843,125,Composer,Cross-site Scripting (XSS),H,2020-12-08,2020-12-08,2020-09-08 06:54:26,2020-09-08 06:54:26,2020-07-12 10:12:53,3.8.4,package125version3.8.4,SNYK-PHP-MOODLEMOODLE-10488431253.8.4,2020-09-08 06:54:26,-58.0,-91,149,91
SNYK-PHP-ROBRICHARDSXMLSECLIBS-480443,1414,Composer,Cryptographic Issues,H,2019-11-07,2019-11-07,2019-11-05 11:44:22,2019-11-05 11:44:22,2015-07-31 15:08:38,2.0.0,package1414version2.0.0,SNYK-PHP-ROBRICHARDSXMLSECLIBS-48044314142.0.0,2019-11-05 11:44:22,-1558.0,-2,1560,2
SNYK-JAVA-ORGKEYCLOAK-1038403,303,Maven,Directory Traversal,M,2020-11-10,2020-11-10,2020-11-06 08:14:36,2020-11-06 08:14:36,2020-11-05 18:41:00,11.0.3,package303version11.0.3,SNYK-JAVA-ORGKEYCLOAK-103840330311.0.3,2020-11-06 08:14:36,-1.0,-4,5,4
SNYK-JAVA-ORGAPACHEKYLIN-570207,735,Maven,Command Injection,H,2020-05-22,2020-05-22,2020-05-06 11:16:11,2020-05-06 11:16:11,2018-11-30 12:40:00,2.5.2,package735version2.5.2,SNYK-JAVA-ORGAPACHEKYLIN-5702077352.5.2,2020-05-06 11:16:11,-523.0,-16,539,16
SNYK-JAVA-ORGAPACHEKARAFMANAGEMENT-572298,793,Maven,Access Restriction Bypass,L,2020-06-14,2020-06-14,2020-06-03 16:37:44,2020-06-03 16:37:44,2020-01-19 22:16:00,4.2.8,package793version4.2.8,SNYK-JAVA-ORGAPACHEKARAFMANAGEMENT-5722987934.2.8,2020-06-03 16:37:44,-136.0,-11,147,11
SNYK-JAVA-ORGKEYCLOAK-72619,303,Maven,Open Redirect,M,2018-11-13,2018-11-19,2018-11-14 19:09:22,2018-11-14 19:09:22,2018-09-26 20:46:00,4.5.0.Final,package303version4.5.0.Final,SNYK-JAVA-ORGKEYCLOAK-726193034.5.0.Final,2018-11-14 19:09:22,-49.0,1,54,5
SNYK-JAVA-ORGAPACHEJACKRABBIT-30653,3105,Maven,Improper Input Validation,M,2015-05-21,2015-05-21,2015-05-21 08:07:02,2015-05-21 12:04:42,2011-09-27 14:56:00,2.0.5,package3105version2.0.5,SNYK-JAVA-ORGAPACHEJACKRABBIT-3065331052.0.5,2015-05-21 08:07:02,-1332.0,0,1332,0
SNYK-JAVA-ORGSPRINGFRAMEWORK-30158,2917,Maven,XML External Entity (XXE) Injection,M,2014-01-23,2016-12-25,2013-07-19 13:03:45,2013-08-06 22:08:53,2013-05-20 19:26:00,3.2.3.RELEASE,package2917version3.2.3.RELEASE,SNYK-JAVA-ORGSPRINGFRAMEWORK-3015829173.2.3.RELEASE,2013-07-19 13:03:45,-60.0,-188,1315,1255
SNYK-PHP-SYMFONYSYMFONY-174497,1391,Composer,Improper Input Validation,M,2019-04-24,2019-04-24,2019-04-16 06:40:48,2019-04-16 06:40:48,2016-05-30 07:24:54,3.1.0,package1391version3.1.0,SNYK-PHP-SYMFONYSYMFONY-17449713913.1.0,2019-04-16 06:40:48,-1051.0,-8,1059,8
SNYK-PHP-CENTREONCENTREON-570051,829,Composer,Arbitrary Command Execution,H,2020-05-21,2020-05-21,2020-03-25 11:16:32,2020-03-25 11:16:32,2019-11-19 15:15:00,19.4.15,package829version19.4.15,SNYK-PHP-CENTREONCENTREON-57005182919.4.15,2020-03-25 11:16:32,-127.0,-57,184,57
SNYK-JAVA-ORGAPACHEACTIVEMQ-467288,3147,Maven,Arbitrary Code Execution,H,2015-12-09,2015-12-09,2015-10-16 13:44:23,2015-12-03 18:22:30,2015-01-15 16:02:00,5.10.1,package3147version5.10.1,SNYK-JAVA-ORGAPACHEACTIVEMQ-46728831475.10.1,2015-10-16 13:44:23,-274.0,-54,328,54
SNYK-PYTHON-ANSIBLE-560365,83,pip,Information Exposure,M,2020-03-16,2020-03-16,2020-07-30 04:05:29,2020-07-30 04:05:29,2020-04-17 00:26:26,2.7.17,package83version2.7.17,SNYK-PYTHON-ANSIBLE-560365832.7.17,2020-07-30 04:05:29,-104.0,136,-32,-136
SNYK-GOLANG-GITHUBCOMHASHICORPNOMADCOMMANDAGENT-564510,1221,Go,Uncontrolled Resource Consumption,H,2020-01-29,2020-04-07,2020-01-30 18:38:25,2020-01-30 18:38:42,2020-01-29 17:24:48,0.10.3,package1221version0.10.3,SNYK-GOLANG-GITHUBCOMHASHICORPNOMADCOMMANDAGENT-56451012210.10.3,2020-01-30 18:38:25,-1.0,1,69,68
SNYK-GOLANG-K8SIOKUBERNETESPKGKUBELETSERVER-561503,1200,Go,Denial of Service (DoS),M,2020-03-24,2020-03-31,2020-02-07 23:12:24,2020-02-07 23:12:24,2020-01-18 23:21:43,1.17.2,package1200version1.17.2,SNYK-GOLANG-K8SIOKUBERNETESPKGKUBELETSERVER-56150312001.17.2,2020-02-07 23:12:24,-20.0,-46,73,53
SNYK-PHP-SYMFONYSYMFONY-174498,1391,Composer,Cross-site Scripting (XSS),M,2019-04-18,2019-04-24,2019-04-06 09:38:26,2019-04-06 09:38:26,2017-11-30 16:56:19,3.4.0,package1391version3.4.0,SNYK-PHP-SYMFONYSYMFONY-17449813913.4.0,2019-04-06 09:38:26,-492.0,-12,510,18
SNYK-PHP-SYMFONYSYMFONY-174499,1391,Composer,Access Control Bypass,M,2019-04-17,2019-04-24,2019-04-06 19:17:28,2019-04-06 19:17:28,2018-05-30 12:52:50,4.1.0,package1391version4.1.0,SNYK-PHP-SYMFONYSYMFONY-17449913914.1.0,2019-04-06 19:17:28,-311.0,-11,329,18
SNYK-PHP-SYMFONYSYMFONY-174497,1391,Composer,Improper Input Validation,M,2019-04-24,2019-04-24,2019-04-16 06:40:48,2019-04-16 06:40:48,2016-11-30 08:46:24,3.2.0,package1391version3.2.0,SNYK-PHP-SYMFONYSYMFONY-17449713913.2.0,2019-04-16 06:40:48,-867.0,-8,875,8
SNYK-PHP-SYMFONYSYMFONY-70210,1391,Composer,Arbitrary Code Injection,M,2014-07-25,2014-07-25,2014-07-15 13:44:49,2014-07-15 13:44:49,2012-09-06 09:01:56,2.1.0,package1391version2.1.0,SNYK-PHP-SYMFONYSYMFONY-7021013912.1.0,2014-07-15 13:44:49,-677.0,-10,687,10
SNYK-JAVA-ORGSPRINGFRAMEWORK-31329,2164,Maven,Expression Language Injection,H,2011-09-09,2011-09-09,2012-11-25 19:50:53,2012-11-25 19:50:53,2011-09-09 22:43:00,2.5.6.SEC03,package2164version2.5.6.SEC03,SNYK-JAVA-ORGSPRINGFRAMEWORK-3132921642.5.6.SEC03,2012-11-25 19:50:53,-443.0,443,0,-443
SNYK-JS-YARGSPARSER-560381,1255,npm,Prototype Pollution,M,2020-03-16,2020-03-16,2020-03-16 07:08:00,2020-03-16 07:08:00,2020-03-13 20:56:49,15.0.1,package1255version15.0.1,SNYK-JS-YARGSPARSER-560381125515.0.1,2020-03-16 07:08:00,-2.0,0,3,0
SNYK-JAVA-ORGSPRINGFRAMEWORK-30157,3172,Maven,Expression Language Injection,H,2011-09-09,2011-09-09,2012-11-25 19:50:53,2012-11-25 19:50:53,2011-09-09 22:43:00,2.5.6.SEC03,package3172version2.5.6.SEC03,SNYK-JAVA-ORGSPRINGFRAMEWORK-3015731722.5.6.SEC03,2012-11-25 19:50:53,-443.0,443,0,-443
SNYK-JS-TOASTUIEDITOR-570416,1217,npm,Cross-site Scripting (XSS),M,2019-01-30,2020-03-26,2020-05-29 11:05:02,2020-06-03 09:01:34,2020-04-29 07:20:14,2.1.0,package1217version2.1.0,SNYK-JS-TOASTUIEDITOR-57041612172.1.0,2020-05-29 11:05:02,-30.0,485,-34,-64
SNYK-PHP-SYMFONYSYMFONY-70376,1391,Composer,Information Exposure,M,2017-11-16,2017-12-04,2017-11-16 08:58:50,2017-11-16 08:58:50,2016-05-30 07:24:54,3.1.0,package1391version3.1.0,SNYK-PHP-SYMFONYSYMFONY-7037613913.1.0,2017-11-16 08:58:50,-535.0,0,553,18
SNYK-JAVA-ORGBOUNCYCASTLE-31658,200,Maven,Hash Collision,H,2018-03-18,2018-04-02,2013-03-06 23:47:18,2013-03-06 23:47:18,2012-03-27 00:54:00,1.47,package200version1.47,SNYK-JAVA-ORGBOUNCYCASTLE-316582001.47,2013-03-06 23:47:18,-345.0,-1838,2197,1853
