snyk_id,vulnerability type,ecosystem,package,security release,repository_url,possible release note,possible changelogs,link,is_doc,list of sources (separated by semicolon),source,snyk version wrong listed,is_fix,How is the fix mentioned? (initial codes); separated by semicolon,fix_pattern,is_uc,is_br,how the breaking change is mentioned? (initial codes); separated by semicolon,breaking_pattern,Additional Comments,row
npm:angular-jwt:20180605,Access Restriction Bypass,npm,angular-jwt,0.1.10,https://github.com/auth0/angular-jwt,https://github.com/auth0/angular-jwt/releases/tag/0.1.10,https://github.com/auth0/angular-jwt/blob/master/History.md,https://snyk.io/vuln/npm:angular-jwt:20180605,y,github release note; Security-notices.md,security notice,,y,security notice; affected function; exploit; vuln root-cause; cve mentioned; affected version,security notice;fix reference;affected version listed;vulnerability description;advisory reference;exploit;affected component listed,n,n,,,,3
npm:koa-body:20180127,Directory Traversal,npm,koa-body,3.0.0,https://github.com/dlau/koa-body,not found through script,https://github.com/dlau/koa-body/blob/master/CHANGELOG.md,https://snyk.io/vuln/npm:koa-body:20180127,,changelog,changelog,,y,security explicitly mentioned; advisory link; summary fix,security notice;advisory reference;fix reference,n,y,breaking change notice; affected apis,breaking change notice;affected api listed,does quick patching and release indicate high severity?,9
SNYK-DOTNET-BOOTSTRAP-450216,Cross-site Scripting (XSS),NuGet,bootstrap,3.4.1,https://github.com/twbs/bootstrap,https://github.com/twbs/bootstrap/releases/tag/v3.4.1,no changlog found in script,https://snyk.io/vuln/SNYK-DOTNET-BOOTSTRAP-450216,y,,github release note,,y,security; vuln type; affected component; cve mention,security notice;fix reference;affected version listed;vulnerability description;advisory reference;affected component listed,y,n,,,,12
SNYK-DOTNET-BOOTSTRAP-450216,Cross-site Scripting (XSS),NuGet,bootstrap,4.3.1,https://github.com/twbs/bootstrap,https://github.com/twbs/bootstrap/releases/tag/v4.3.1,no changlog found in script,https://snyk.io/vuln/SNYK-DOTNET-BOOTSTRAP-450216,y,,github release note,,y,security; vuln type; affected component; cve mention,security notice;fix reference;affected version listed;vulnerability description;advisory reference;affected component listed,y,n,,,,13
SNYK-DOTNET-DOTNETNUKECORE-536081,Cryptographic Issues,NuGet,dotnetnuke.core,9.2.2,https://github.com/dnnsoftware/Dnn.Platform,https://github.com/dnnsoftware/Dnn.Platform/releases/tag/v9.2.2,https://github.com/dnnsoftware/Dnn.Platform/blob/master/.github/RELEASE_SCHEDULE.md ; https://github.com/dnnsoftware/Dnn.Platform/blob/master/Build/Symbols/releaseNotes.txt ; https://github.com/dnnsoftware/Dnn.Platform/blob/master/DNN Platform/Admin Modules/Dnn.Modules.Console/releaseNotes.txt ; https://github.com/dnnsoftware/Dnn.Platform/blob/master/DNN Platform/Components/Microsoft.CodeDom.Providers.DotNetCompilerPlatform/releaseNotes.txt ; https://github.com/dnnsoftware/Dnn.Platform/blob/master/DNN Platform/Connectors/Azure/releaseNotes.txt ; https://github.com/dnnsoftware/Dnn.Platform/blob/master/DNN Platform/Connectors/GoogleAnalytics/ReleaseNotes.txt ; https://github.com/dnnsoftware/Dnn.Platform/blob/master/DNN Platform/Connectors/GoogleTagManager/ReleaseNotes.txt ; https://github.com/dnnsoftware/Dnn.Platform/blob/master/DNN Platform/Controls/SolpartMenu/ReleaseNotes.txt ; https://github.com/dnnsoftware/Dnn.Platform/blob/master/DNN Platform/Dnn.AuthServices.Jwt/releaseNotes.txt ; https://github.com/dnns,https://snyk.io/vuln/SNYK-DOTNET-DOTNETNUKECORE-536081,y,,github release note,,y,security; external link for advisory,security notice;vulnerability description;advisory reference;fix reference,y,n,,,,14
SNYK-DOTNET-MICROSOFTASPNETCOREALL-60240,Denial of Service (DoS),NuGet,microsoft.aspnetcore.all,2.0.3,https://github.com/aspnet/AspNetCore,https://github.com/dotnet/aspnetcore/releases/tag/2.0.3,https://github.com/aspnet/AspNetCore/blob/master/src/Identity/samples/IdentitySample.Mvc/Views/Manage/ChangePassword.cshtml ; https://github.com/aspnet/AspNetCore/blob/master/src/Identity/UI/src/Areas/Identity/Pages/V4/Account/ConfirmEmailChange.cshtml ; https://github.com/aspnet/AspNetCore/blob/master/src/Identity/UI/src/Areas/Identity/Pages/V4/Account/Manage/ChangePassword.cshtml ; https://github.com/aspnet/AspNetCore/blob/master/src/Installers/Debian/tools/templates/debian/changelog ; https://github.com/aspnet/AspNetCore/blob/master/src/Security/samples/Identity.ExternalClaims/Pages/Account/Manage/ChangePassword.cshtml,https://snyk.io/vuln/SNYK-DOTNET-MICROSOFTASPNETCOREALL-60240,y,,github release note,,,,security notice;vulnerability description;fix reference;advisory reference;affected component listed,,n,,,,17
SNYK-DOTNET-MICROSOFTASPNETCOREALL-60240,Denial of Service (DoS),NuGet,microsoft.aspnetcore.all,2.1.0-rc1-final,https://github.com/aspnet/AspNetCore,not found through script,https://github.com/aspnet/AspNetCore/blob/master/src/Identity/samples/IdentitySample.Mvc/Views/Manage/ChangePassword.cshtml ; https://github.com/aspnet/AspNetCore/blob/master/src/Identity/UI/src/Areas/Identity/Pages/V4/Account/ConfirmEmailChange.cshtml ; https://github.com/aspnet/AspNetCore/blob/master/src/Identity/UI/src/Areas/Identity/Pages/V4/Account/Manage/ChangePassword.cshtml ; https://github.com/aspnet/AspNetCore/blob/master/src/Installers/Debian/tools/templates/debian/changelog ; https://github.com/aspnet/AspNetCore/blob/master/src/Security/samples/Identity.ExternalClaims/Pages/Account/Manage/ChangePassword.cshtml,https://snyk.io/vuln/SNYK-DOTNET-MICROSOFTASPNETCOREALL-60240,,,,,n,,,n,n,,,,18
SNYK-DOTNET-MICROSOFTASPNETCOREALL-60258,Denial of Service (DoS),NuGet,microsoft.aspnetcore.all,2.0.9,https://github.com/aspnet/AspNetCore,not found through script,https://github.com/aspnet/AspNetCore/blob/master/src/Identity/samples/IdentitySample.Mvc/Views/Manage/ChangePassword.cshtml ; https://github.com/aspnet/AspNetCore/blob/master/src/Identity/UI/src/Areas/Identity/Pages/V4/Account/ConfirmEmailChange.cshtml ; https://github.com/aspnet/AspNetCore/blob/master/src/Identity/UI/src/Areas/Identity/Pages/V4/Account/Manage/ChangePassword.cshtml ; https://github.com/aspnet/AspNetCore/blob/master/src/Installers/Debian/tools/templates/debian/changelog ; https://github.com/aspnet/AspNetCore/blob/master/src/Security/samples/Identity.ExternalClaims/Pages/Account/Manage/ChangePassword.cshtml,https://snyk.io/vuln/SNYK-DOTNET-MICROSOFTASPNETCOREALL-60258,y,,changelog,,n,,,,n,,,,19
SNYK-DOTNET-MICROSOFTASPNETCOREALL-60258,Denial of Service (DoS),NuGet,microsoft.aspnetcore.all,2.1.2,https://github.com/aspnet/AspNetCore,https://github.com/dotnet/aspnetcore/releases/tag/2.1.2,https://github.com/aspnet/AspNetCore/blob/master/src/Identity/samples/IdentitySample.Mvc/Views/Manage/ChangePassword.cshtml ; https://github.com/aspnet/AspNetCore/blob/master/src/Identity/UI/src/Areas/Identity/Pages/V4/Account/ConfirmEmailChange.cshtml ; https://github.com/aspnet/AspNetCore/blob/master/src/Identity/UI/src/Areas/Identity/Pages/V4/Account/Manage/ChangePassword.cshtml ; https://github.com/aspnet/AspNetCore/blob/master/src/Installers/Debian/tools/templates/debian/changelog ; https://github.com/aspnet/AspNetCore/blob/master/src/Security/samples/Identity.ExternalClaims/Pages/Account/Manage/ChangePassword.cshtml,https://snyk.io/vuln/SNYK-DOTNET-MICROSOFTASPNETCOREALL-60258,y,,changelog,,y,security notice; advisory link; vuln type; affected version listed,security notice;fix reference;affected version listed;vulnerability description;advisory reference;affected component listed,y,n,,,affected versions are often listed at advisory link,20
SNYK-DOTNET-MICROSOFTASPNETCOREAPP-60259,Denial of Service (DoS),NuGet,microsoft.aspnetcore.app,2.1.2,https://github.com/aspnet/AspNetCore,https://github.com/dotnet/aspnetcore/releases/tag/2.1.2,https://github.com/aspnet/AspNetCore/blob/master/src/Identity/samples/IdentitySample.Mvc/Views/Manage/ChangePassword.cshtml ; https://github.com/aspnet/AspNetCore/blob/master/src/Identity/UI/src/Areas/Identity/Pages/V4/Account/ConfirmEmailChange.cshtml ; https://github.com/aspnet/AspNetCore/blob/master/src/Identity/UI/src/Areas/Identity/Pages/V4/Account/Manage/ChangePassword.cshtml ; https://github.com/aspnet/AspNetCore/blob/master/src/Installers/Debian/tools/templates/debian/changelog ; https://github.com/aspnet/AspNetCore/blob/master/src/Security/samples/Identity.ExternalClaims/Pages/Account/Manage/ChangePassword.cshtml,https://snyk.io/vuln/SNYK-DOTNET-MICROSOFTASPNETCOREAPP-60259,y,,changelog,,y,security notice; advisory link; vuln type; affected version listed,security notice;fix reference;affected version listed;vulnerability description;advisory reference;affected component listed,y,n,,,,21
