snyk_id,vulnerability type,ecosystem,package,security release,repository,possible release note,possible changelogs,link,Is there a documentation source?,list of sources (separated by semicolon),main source,snyk version wrong listed,is the fix mentioned?,How is the fix mentioned? (initial codes); separated by semicolon,How is the fix mentioned? (final codes); separated by semicolon,is there unrelated change mentioned?,is breaking change mentioned?,how the breaking change is mentioned? (initial codes); separated by semicolon,how the breaking change is mentioned? (final codes); separated by semicolon,Additional Comments,Additional Resources
npm:address-rfc2822:20180225,Regular Expression Denial of Service (ReDoS),npm,address-rfc2822,2.0.2,https://github.com/haraka/node-address-rfc2822,not found through script,https://github.com/haraka/node-address-rfc2822/blob/master/Changes.md,https://snyk.io/vuln/npm:address-rfc2822:20180225,Y,changes.md,changelog,,Y,vulnerability type mentioned; PR referenced ,vulnerability description; fix reference,N,N,,,,
npm:angular-jwt:20180605,Access Restriction Bypass,npm,angular-jwt,0.1.10,https://github.com/auth0/angular-jwt,https://github.com/auth0/angular-jwt/releases/tag/0.1.10,https://github.com/auth0/angular-jwt/blob/master/History.md,https://snyk.io/vuln/npm:angular-jwt:20180605,Y,github release note,github release note,,Y,release note: summary of fix; security-notices: risk explained; PoC; CVE linked,fix reference; security notice; vulnerability description; advisory reference,N,N,,,,
npm:braces:20180219,Regular Expression Denial of Service (ReDoS),npm,braces,2.3.1,https://github.com/micromatch/braces,not found through script,https://github.com/micromatch/braces/blob/master/CHANGELOG.md,https://snyk.io/vuln/npm:braces:20180219,Y,changelog.md,changelog,,Y,Summary of fix,fix reference,N,N,,,,
npm:fastify:20180107,Denial of Service (DoS),npm,fastify,0.38.0,https://github.com/fastify/fastify,https://github.com/fastify/fastify/releases/tag/v0.38.0,no changlog found in script,https://snyk.io/vuln/npm:fastify:20180107,Y,github release note,github release note,,Y,CVE Reference; List of fixes,advisory reference,Y,Y,breaking changes; pr reference,breaking change notice; code change reference,,
npm:is-my-json-valid:20180214,Regular Expression Denial of Service (ReDoS),npm,is-my-json-valid,1.4.1,https://github.com/mafintosh/is-my-json-valid,not found through script,no changlog found in script,https://snyk.io/vuln/npm:is-my-json-valid:20180214,N,N,N,,,,,,,,,,
npm:is-my-json-valid:20180214,Regular Expression Denial of Service (ReDoS),npm,is-my-json-valid,2.17.2,https://github.com/mafintosh/is-my-json-valid,not found through script,no changlog found in script,https://snyk.io/vuln/npm:is-my-json-valid:20180214,N,N,N,,,,,,,,,,
npm:jsviews:20160320,Template Injection,npm,jsviews,0.9.74,https://github.com/borismoore/jsviews,https://github.com/BorisMoore/jsviews/releases/tag/v0.9.74,no changlog found in script,https://snyk.io/vuln/npm:jsviews:20160320,Y,github release note,github release note,,N,"Not mentioned explicitly, has multiple commits",,,,,,,
npm:koa-body:20180127,Directory Traversal,npm,koa-body,3.0.0,https://github.com/dlau/koa-body,not found through script,https://github.com/dlau/koa-body/blob/master/CHANGELOG.md,https://snyk.io/vuln/npm:koa-body:20180127,N,N,N,,Y,security explicitly mentioned; advisory link; summary fix,security notice; advisory reference; fix reference,N,Y,breaking changes; affected apis,breaking change notice; affected api listed,"Has a changelog, but does not contain the information for the required version",
npm:shiba:20171125,Cross-site Scripting (XSS),npm,shiba,1.1.1,https://github.com/rhysd/Shiba,https://github.com/rhysd/Shiba/releases/tag/v1.1.1,no changlog found in script,https://snyk.io/vuln/npm:shiba:20171125,Y,github release note,github release note,,Y,Included in release note,vulnerability description,Y,N,,,,
npm:skeemas:20180225,Regular Expression Denial of Service (ReDoS),npm,skeemas,1.2.5,https://github.com/Prestaul/skeemas,not found through script,no changlog found in script,https://snyk.io/vuln/npm:skeemas:20180225,N,N,N,,,,,,,,,Does not have the documentation for versions after 1.2.4,
SNYK-DOTNET-BOOTSTRAP-450216,Cross-site Scripting (XSS),NuGet,bootstrap,3.4.1,https://github.com/twbs/bootstrap,https://github.com/twbs/bootstrap/releases/tag/v3.4.1,no changlog found in script,https://snyk.io/vuln/SNYK-DOTNET-BOOTSTRAP-450216,Y,github release note,github release note,,Y,CVE mentioned; fix mentioned; vulnerability description,fix reference; security notice; vulnerability description; advisory reference; affected versions listed,Y,N,,,,
SNYK-DOTNET-BOOTSTRAP-450216,Cross-site Scripting (XSS),NuGet,bootstrap,4.3.1,https://github.com/twbs/bootstrap,https://github.com/twbs/bootstrap/releases/tag/v4.3.1,no changlog found in script,https://snyk.io/vuln/SNYK-DOTNET-BOOTSTRAP-450216,Y,github release note,github release note,,Y,CVE mentioned; fix mentioned; vulnerability description,fix reference; security notice; vulnerability description; advisory reference; affected versions listed,Y,N,,,,
SNYK-DOTNET-DOTNETNUKECORE-536081,Cryptographic Issues,NuGet,dotnetnuke.core,9.2.2,https://github.com/dnnsoftware/Dnn.Platform,https://github.com/dnnsoftware/Dnn.Platform/releases/tag/v9.2.2,https://github.com/dnnsoftware/Dnn.Platform/blob/master/.github/RELEASE_SCHEDULE.md ; https://github.com/dnnsoftware/Dnn.Platform/blob/master/Build/Symbols/releaseNotes.txt ; https://github.com/dnnsoftware/Dnn.Platform/blob/master/DNN Platform/Admin Modules/Dnn.Modules.Console/releaseNotes.txt ; https://github.com/dnnsoftware/Dnn.Platform/blob/master/DNN Platform/Components/Microsoft.CodeDom.Providers.DotNetCompilerPlatform/releaseNotes.txt ; https://github.com/dnnsoftware/Dnn.Platform/blob/master/DNN Platform/Connectors/Azure/releaseNotes.txt ; https://github.com/dnnsoftware/Dnn.Platform/blob/master/DNN Platform/Connectors/GoogleAnalytics/ReleaseNotes.txt ; https://github.com/dnnsoftware/Dnn.Platform/blob/master/DNN Platform/Connectors/GoogleTagManager/ReleaseNotes.txt ; https://github.com/dnnsoftware/Dnn.Platform/blob/master/DNN Platform/Controls/SolpartMenu/ReleaseNotes.txt ; https://github.com/dnnsoftware/Dnn.Platform/blob/master/DNN Platform/Dnn.AuthServices.Jwt/releaseNotes.txt ; https://github.com/dnns,https://snyk.io/vuln/SNYK-DOTNET-DOTNETNUKECORE-536081,Y,github release note,github release note,,Y,security notice; link to details; fix summary; vulnerability type; mitigation,fix reference; security notice; vulnerability description,Y,N,,,,
