advisory_id,ecosystem,package_id,release_id,commit_count,file_count,loc_change,contributor_count,ifcve,severity,fix_to_release_delay
SNYK-JAVA-COMPUPPYCRAWLTOOLS-173770,Maven,2010,4880,45,152,8908,7,cve,M,0.0
SNYK-PYTHON-AWSCLI-40712,pip,2597,1001,10,10,251,4,noncve,M,0.0
SNYK-JAVA-ORGMONGODB-1079241,Maven,7,4154,5,7,32,3,cve,M,0.0
SNYK-PYTHON-WERKZEUG-1041750,pip,257,1530,14,4,207,3,cve,H,0.0
SNYK-JAVA-ORGCLOUDFOUNDRYIDENTITY-474639,Maven,2970,5206,8,19,497,1,cve,H,0.0
SNYK-JAVA-ORGAPACHETOMCAT-32110,Maven,157,4276,40,44,1380,7,cve,M,0.0
SNYK-JAVA-ORGSPRINGFRAMEWORKSECURITY-569093,Maven,847,4629,19,17,637,9,cve,H,0.0
SNYK-PYTHON-DJANGO-40382,pip,510,1091,68,50,664,36,cve,H,0.0
npm:boom:20130209,npm,3356,95,1,2,209,1,noncve,M,-0.0
SNYK-JS-SIMDITOR-174638,npm,3579,719,1,8,1100,1,cve,M,0.0
npm:querystringify:20180419,npm,2346,626,6,2,29,3,noncve,H,0.0
SNYK-RUBY-CLEARANCE-20419,RubyGems,2706,8233,5,9,122,2,noncve,M,0.0
npm:restafary:20160328,npm,3055,653,2,1,3,1,cve,M,0.0
npm:uas-parser:20180305,npm,2426,807,6,2,96,2,noncve,H,0.0
npm:loopback-connector-oracle:20150108,npm,2865,462,4,2,231,2,noncve,M,0.0
SNYK-JAVA-ORGSPRINGFRAMEWORKINTEGRATION-73517,Maven,2068,4905,54,477,10495,5,cve,H,0.0
SNYK-GOLANG-GITHUBCOMCONTAINOUSTRAEFIKAPI-597114,Go,569,8686,19,23,768,12,cve,M,0.0
SNYK-JS-URLPARSE-1078283,npm,26,812,12,4,104,4,cve,M,0.0
SNYK-JS-REVEALJS-543841,npm,1287,656,3,1,23,1,cve,H,0.0
SNYK-PHP-SYMFONYSYMFONY-70376,Composer,1391,7730,19,22,777,5,cve,M,0.0
SNYK-JAVA-JUNIT-1017047,Maven,682,4547,20,7,136,6,cve,L,0.0
SNYK-PYTHON-PERSONNUMMER-674152,pip,480,1314,11,3,214,1,noncve,M,0.0
npm:content:20170908,npm,2422,135,1,1,9,1,cve,M,-0.0
SNYK-JS-STOPLIGHTMARKDOWN-1078260,npm,40,32,1,3,85,1,noncve,M,0.0
SNYK-JAVA-ORGAPACHETOMCAT-551994,Maven,1253,4720,98,110,3362,10,cve,H,0.0
SNYK-PHP-UAPARSERUAPPHP-72742,Composer,2087,7909,1,2,409,1,cve,M,0.0
SNYK-PHP-GRUMPYDICTATORFIREFLYIII-451647,Composer,358,7428,4,3,32,1,cve,M,0.0
SNYK-JAVA-ORGMONGODB-1079241,Maven,7,4157,6,10,35,1,cve,M,0.0
SNYK-PYTHON-PYSAML2-543298,pip,1319,1386,30,26,1150,6,cve,M,0.0
npm:moment:20160126,npm,2587,502,5,6,30,3,cve,M,0.0
