snyk_id,vulnerability type,ecosystem,package,security release,repository_url,possible release note,possible changelogs,link,Is there a documentation source?,list of sources (separated by semicolon),main source,is the fix mentioned?,How is the fix mentioned? (initial codes); separated by semicolon,How is the fix mentioned? (final codes); separated by semicolon,is there unrelated change mentioned?,is breaking change mentioned?,how the breaking change is mentioned? (initial codes); separated by semicolon,how the breaking change is mentioned? (final codes); separated by semicolon,Additional Comments
npm:address-rfc2822:20180225,Regular Expression Denial of Service (ReDoS),npm,address-rfc2822,2.0.2,https://github.com/haraka/node-address-rfc2822,not found through script,https://github.com/haraka/node-address-rfc2822/blob/master/Changes.md,https://snyk.io/vuln/npm:address-rfc2822:20180225,Y,changes.md,changelog,Y,vulnerability type mentioned; PR referenced ,vulnerability description; fix referenced,N,N,,,
npm:angular-jwt:20180605,Access Restriction Bypass,npm,angular-jwt,0.1.10,https://github.com/auth0/angular-jwt,https://github.com/auth0/angular-jwt/releases/tag/0.1.10,https://github.com/auth0/angular-jwt/blob/master/History.md,https://snyk.io/vuln/npm:angular-jwt:20180605,Y,github release note; Security-notices.md,security notice,Y,security notice; affected function; exploit; vuln root-cause; cve mentioned; affected version,security notice; vulnerability description; advisory reference; Affected component listed; Exploit; Affected version listed,N,N,,,
npm:braces:20180219,Regular Expression Denial of Service (ReDoS),npm,braces,2.3.1,https://github.com/micromatch/braces,not found through script,https://github.com/micromatch/braces/blob/master/CHANGELOG.md,https://snyk.io/vuln/npm:braces:20180219,Y,changelog.MD,changelog,Y,summary fix,fix referenced,N,N,,,
npm:fastify:20180107,Denial of Service (DoS),npm,fastify,0.38.0,https://github.com/fastify/fastify,https://github.com/fastify/fastify/releases/tag/v0.38.0,no changlog found in script,https://snyk.io/vuln/npm:fastify:20180107,Y,github release note,github release note,Y,CVE mentioned; ,advisory reference,Y,Y,breaking change notice; pr reference,breaking change notice; code change reference,
npm:is-my-json-valid:20180214,Regular Expression Denial of Service (ReDoS),npm,is-my-json-valid,1.4.1,https://github.com/mafintosh/is-my-json-valid,not found through script,no changlog found in script,https://snyk.io/vuln/npm:is-my-json-valid:20180214,N,N,N,,,,,,,,"the package that does not have a release note, not likely to especially have for security releases"
npm:is-my-json-valid:20180214,Regular Expression Denial of Service (ReDoS),npm,is-my-json-valid,2.17.2,https://github.com/mafintosh/is-my-json-valid,not found through script,no changlog found in script,https://snyk.io/vuln/npm:is-my-json-valid:20180214,N,N,N,,,,,,,,
npm:jsviews:20160320,Template Injection,npm,jsviews,0.9.74,https://github.com/borismoore/jsviews,https://github.com/BorisMoore/jsviews/releases/tag/v0.9.74,no changlog found in script,https://snyk.io/vuln/npm:jsviews:20160320,Y,github release notes,github release note,N,,,N,N,,,release commit include the fix
npm:koa-body:20180127,Directory Traversal,npm,koa-body,3.0.0,https://github.com/dlau/koa-body,not found through script,https://github.com/dlau/koa-body/blob/master/CHANGELOG.md,https://snyk.io/vuln/npm:koa-body:20180127,Y,changelog,changelog,Y,security explicitly mentioned; advisory link; summary fix,security notice; advisory referenced; fix referenced,N,Y,breaking change notice; affected apis,affected api listed; breaking change notice,does quick patching and release indicate high severity?
npm:shiba:20171125,Cross-site Scripting (XSS),npm,shiba,1.1.1,https://github.com/rhysd/Shiba,https://github.com/rhysd/Shiba/releases/tag/v1.1.1,no changlog found in script,https://snyk.io/vuln/npm:shiba:20171125,Y,github release notes,github release note,Y,high-level issue,vulnerability description,Y,N,,,
npm:skeemas:20180225,Regular Expression Denial of Service (ReDoS),npm,skeemas,1.2.5,https://github.com/Prestaul/skeemas,not found through script,no changlog found in script,https://snyk.io/vuln/npm:skeemas:20180225,N,N,N,,,,,,,,
SNYK-DOTNET-BOOTSTRAP-450216,Cross-site Scripting (XSS),NuGet,bootstrap,3.4.1,https://github.com/twbs/bootstrap,https://github.com/twbs/bootstrap/releases/tag/v3.4.1,no changlog found in script,https://snyk.io/vuln/SNYK-DOTNET-BOOTSTRAP-450216,Y,,github release note,Y,security; vuln type; affected component,Security notice; Vulnerability description; Affected component listed,Y,N,,,
SNYK-DOTNET-BOOTSTRAP-450216,Cross-site Scripting (XSS),NuGet,bootstrap,4.3.1,https://github.com/twbs/bootstrap,https://github.com/twbs/bootstrap/releases/tag/v4.3.1,no changlog found in script,https://snyk.io/vuln/SNYK-DOTNET-BOOTSTRAP-450216,Y,,github release note,Y,security; vuln type; affected component,Security notice; Vulnerability description; Affected component listed,Y,N,,,
